fixed.acidity,volatile.acidity,citric.acid,residual.sugar,chlorides,free.sulfur.dioxide,total.sulfur.dioxide,density,pH,sulphates,alcohol,quality,alcohol.density.ratio,quality_label
7.3,0.24,0.39,2.9418039315284354,0.055434706888100586,45.0,149.0,0.9999,3.21,0.36,8.6,5,8.6008600860086,Low
6.7,0.23,0.39,1.252762968495368,0.15871169115482087,63.0,158.0,0.9937,3.11,0.36,9.4,6,9.459595451343464,Low
6.7,0.24,0.39,1.3609765531356006,0.1595645696713384,63.0,157.0,0.9937,3.1,0.34,9.4,6,9.459595451343464,Low
7.0,0.31,0.26,2.128231705849268,0.06672363204290818,28.0,160.0,0.9954,3.13,0.46,9.8,6,9.845288326300986,Low
6.6,0.24,0.27,0.8754687373538999,0.055434706888100586,33.0,152.0,0.9934,3.22,0.56,9.5,6,9.563116569357762,Low
6.7,0.23,0.26,0.8754687373538999,0.05826890812397577,33.0,154.0,0.9934,3.24,0.56,9.5,6,9.563116569357762,Low
7.4,0.18,0.31,0.8754687373538999,0.05638033343610764,38.0,167.0,0.9931,3.16,0.53,10.0,7,10.069479407914612,High
6.2,0.45,0.26,1.6863989535702288,0.06109509935981088,63.0,206.0,0.994,3.27,0.52,9.8,4,9.859154929577466,Low
6.2,0.46,0.25,1.6863989535702288,0.0639133257436528,62.0,207.0,0.9939,3.25,0.52,9.8,5,9.860146896066004,Low
7.0,0.31,0.26,2.128231705849268,0.06672363204290818,28.0,160.0,0.9954,3.13,0.46,9.8,6,9.845288326300986,Low
6.9,0.19,0.35,1.791759469228055,0.06485097231961633,32.0,150.0,0.995,3.36,0.48,9.8,5,9.84924623115578,Low
7.2,0.19,0.31,0.9555114450274363,0.06015392281974709,31.0,173.0,0.9917,3.35,0.44,11.7,6,11.79792275889886,Low
6.6,0.25,0.29,0.7419373447293773,0.0657877405380031,39.0,124.0,0.9914,3.34,0.58,11.0,7,11.095420617308857,High
6.2,0.16,0.33,0.7419373447293773,0.055434706888100586,21.0,82.0,0.991,3.32,0.46,10.9,7,10.99899091826438,High
6.4,0.18,0.35,0.6931471805599453,0.04401688541677433,39.0,108.0,0.9911,3.31,0.35,10.9,6,10.997881142165271,Low
6.8,0.2,0.59,0.6418538861723948,0.13714983814723364,38.0,132.0,0.993,3.05,0.38,9.1,6,9.164149043303121,Low
6.9,0.25,0.35,0.832909122935104,0.038258712117090345,29.0,191.0,0.9908,3.13,0.52,11.0,6,11.102139685102946,Low
7.2,0.21,0.34,2.5572273113676265,0.042101176018635396,37.0,213.0,0.9962,3.09,0.5,9.6,6,9.636619152780566,Low
6.0,0.19,0.26,2.5952547069568657,0.046883585898850416,50.0,147.0,0.9972,3.3,0.36,8.9,6,8.92498997192138,Low
6.6,0.38,0.15,1.7227665977411035,0.04305948946044697,25.0,78.0,0.9931,3.11,0.38,10.2,6,10.270868996072902,Low
7.4,0.2,0.36,0.7884573603642702,0.037295784743696894,44.0,111.0,0.9926,3.36,0.34,9.9,6,9.97380616562563,Low
6.8,0.22,0.24,1.7749523509116738,0.0880108773227133,30.0,123.0,0.9951,3.03,0.46,8.6,6,8.642347502763542,Low
6.0,0.19,0.26,2.5952547069568657,0.046883585898850416,50.0,147.0,0.9972,3.3,0.36,8.9,6,8.92498997192138,Low
7.0,0.47,0.07,0.7419373447293773,0.0344014267173324,17.0,151.0,0.991,3.02,0.34,10.5,5,10.595358224016145,Low
6.6,0.38,0.15,1.7227665977411035,0.04305948946044697,25.0,78.0,0.9931,3.11,0.38,10.2,6,10.270868996072902,Low
7.2,0.24,0.27,0.8754687373538999,0.037295784743696894,31.0,122.0,0.9927,3.15,0.46,10.3,6,10.375742923340384,Low
6.2,0.35,0.03,0.7884573603642702,0.06203539091945264,29.0,120.0,0.9934,3.22,0.54,9.1,5,9.16045902959533,Low
6.4,0.26,0.24,2.0014800002101243,0.039220713153281295,27.0,124.0,0.9903,3.22,0.49,12.6,7,12.723417146319298,High
6.7,0.25,0.13,0.7884573603642702,0.04018178963283184,81.0,174.0,0.992,3.14,0.42,9.8,5,9.879032258064518,Low
6.7,0.23,0.31,1.1314021114911006,0.044973365642731154,30.0,96.0,0.9926,3.33,0.64,10.7,8,10.779770300221639,High
7.4,0.24,0.29,2.4069451083182885,0.048790164169432,21.0,105.0,0.9962,3.13,0.35,9.5,5,9.536237703272436,Low
6.2,0.27,0.43,2.174751721484161,0.05448818528406973,48.0,244.0,0.9956,3.1,0.51,9.0,6,9.039775010044194,Low
6.8,0.3,0.23,1.7227665977411035,0.05921185963184609,50.5,238.5,0.9958,3.32,0.6,9.5,5,9.54006828680458,Low
6.0,0.27,0.28,1.7578579175523736,0.06109509935981088,31.0,201.0,0.9964,3.69,0.71,10.0,5,10.036130068245685,Low
8.6,0.23,0.46,0.6931471805599453,0.05259245011917058,9.0,72.0,0.9941,2.95,0.49,9.1,6,9.154008651041142,Low
6.7,0.23,0.31,1.1314021114911006,0.044973365642731154,30.0,96.0,0.9926,3.33,0.64,10.7,8,10.779770300221639,High
7.4,0.24,0.29,2.4069451083182885,0.048790164169432,21.0,105.0,0.9962,3.13,0.35,9.5,5,9.536237703272436,Low
7.1,0.18,0.36,0.8754687373538999,0.042101176018635396,31.0,87.0,0.9898,3.26,0.37,12.7,7,12.830874924227116,High
7.0,0.32,0.34,0.832909122935104,0.04114194333117518,20.0,69.0,0.9912,3.31,0.65,12.0,7,12.106537530266344,High
7.4,0.18,0.3,2.2823823856765264,0.06203539091945264,26.0,103.0,0.9961,2.94,0.56,9.3,5,9.336412006826624,Low
6.7,0.54,0.28,1.8562979903656263,0.05826890812397577,21.0,105.0,0.9949,3.27,0.37,9.0,5,9.046135289978892,Low
6.8,0.22,0.31,0.8754687373538999,0.05164323315183845,34.0,114.0,0.9929,3.39,0.77,10.6,6,10.675798166985597,Low
7.1,0.2,0.34,2.833213344056216,0.048790164169432,51.0,166.0,0.9985,3.21,0.6,9.2,6,9.213820731096643,Low
7.1,0.34,0.2,1.9600947840472698,0.06109509935981088,47.0,164.0,0.9946,3.17,0.42,10.0,5,10.054293183189221,Low
7.1,0.43,0.61,2.5494451709255714,0.04401688541677433,54.0,155.0,0.9974,3.11,0.45,8.7,5,8.722678965309806,Low
7.1,0.44,0.62,2.5494451709255714,0.04305948946044697,52.0,152.0,0.9975,3.12,0.46,8.7,6,8.721804511278194,Low
7.2,0.39,0.63,2.4849066497880004,0.04305948946044697,55.0,156.0,0.9974,3.09,0.44,8.7,6,8.722678965309806,Low
6.8,0.25,0.31,2.6602595372658615,0.048790164169432,69.0,202.0,0.9972,3.22,0.48,9.7,6,9.72723626153229,Low
7.1,0.43,0.61,2.5494451709255714,0.04401688541677433,54.0,155.0,0.9974,3.11,0.45,8.7,5,8.722678965309806,Low
7.1,0.44,0.62,2.5494451709255714,0.04305948946044697,52.0,152.0,0.9975,3.12,0.46,8.7,6,8.721804511278194,Low
7.2,0.39,0.63,2.4849066497880004,0.04305948946044697,55.0,156.0,0.9974,3.09,0.44,8.7,6,8.722678965309806,Low
6.1,0.27,0.43,2.1400661634962708,0.04783732941416013,65.0,243.0,0.9957,3.12,0.47,9.0,5,9.038867128653209,Low
6.9,0.24,0.33,0.9932517730102833,0.0344014267173324,47.0,136.0,0.99,3.26,0.4,12.6,7,12.727272727272727,High
6.9,0.21,0.33,1.0296194171811581,0.03343477608623739,48.0,136.0,0.9899,3.25,0.41,12.6,7,12.72855844024649,High
7.5,0.17,0.32,0.9932517730102833,0.039220713153281295,51.0,148.0,0.9916,3.21,0.44,11.5,7,11.597418313836224,High
7.1,0.26,0.29,2.5952547069568657,0.04305948946044697,62.0,240.0,0.9969,3.04,0.42,9.2,6,9.22860868692948,Low
6.0,0.34,0.66,2.8273136219290276,0.044973365642731154,26.0,164.0,0.9979,3.14,0.5,8.8,6,8.818518889668304,Low
8.6,0.265,0.36,0.7884573603642702,0.03343477608623739,15.0,80.0,0.9913,2.95,0.36,11.4,7,11.500050438817714,High
9.8,0.36,0.46,2.4423470353692043,0.037295784743696894,4.0,83.0,0.9956,2.89,0.3,10.1,4,10.144636400160707,Low
6.0,0.34,0.66,2.8273136219290276,0.044973365642731154,26.0,164.0,0.9979,3.14,0.5,8.8,6,8.818518889668304,Low
7.4,0.25,0.37,2.6741486494265287,0.05826890812397577,52.0,192.0,0.9975,3.0,0.44,9.1,5,9.12280701754386,Low
7.1,0.12,0.32,2.3608540011180215,0.05259245011917058,64.0,162.0,0.9962,3.4,0.41,9.4,5,9.435856253764305,Low
6.0,0.21,0.24,2.5726122302071057,0.048790164169432,55.0,164.0,0.997,3.34,0.39,9.4,5,9.42828485456369,Low
7.5,0.305,0.4,2.990719731730447,0.05732506661926941,44.0,170.0,1.0,2.99,0.46,9.0,5,9.0,Low
7.4,0.25,0.37,2.6741486494265287,0.05826890812397577,52.0,192.0,0.9975,3.0,0.44,9.1,5,9.12280701754386,Low
7.3,0.13,0.32,2.7343675094195836,0.04974209189481407,34.0,109.0,0.9974,3.2,0.35,9.2,6,9.223982354120714,Low
7.1,0.12,0.32,2.3608540011180215,0.05259245011917058,64.0,162.0,0.9962,3.4,0.41,9.4,5,9.435856253764305,Low
7.1,0.23,0.35,2.8622008809294686,0.039220713153281295,60.0,171.0,0.999,3.16,0.59,9.1,6,9.10910910910911,Low
7.1,0.23,0.35,2.8622008809294686,0.039220713153281295,60.0,171.0,0.999,3.16,0.59,9.1,6,9.10910910910911,Low
6.9,0.33,0.28,0.832909122935104,0.04974209189481407,37.0,187.0,0.9927,3.27,0.6,10.3,5,10.375742923340384,Low
6.5,0.17,0.54,2.2512917986064953,0.07881118042428978,64.0,163.0,0.9959,2.89,0.39,8.8,6,8.836228537001707,Low
7.2,0.27,0.46,2.9831534913471307,0.050693114315518116,45.0,255.0,1.0,3.04,0.52,8.9,5,8.9,Low
7.2,0.31,0.5,2.6602595372658615,0.05448818528406973,68.0,195.0,0.9982,3.01,0.47,9.2,5,9.216589861751151,Low
6.7,0.41,0.34,2.322387720290225,0.04783732941416013,29.0,150.0,0.9968,3.22,0.51,9.1,5,9.129213483146067,Low
6.7,0.41,0.34,2.322387720290225,0.04783732941416013,29.0,150.0,0.9968,3.22,0.51,9.1,5,9.129213483146067,Low
5.5,0.485,0.0,0.9162907318741551,0.06297479916138844,8.0,103.0,0.994,3.63,0.4,9.7,4,9.758551307847082,Low
6.0,0.31,0.24,1.4586150226995167,0.04018178963283184,25.0,143.0,0.9914,3.31,0.44,11.3,6,11.398022997780917,Low
7.0,0.14,0.4,0.9932517730102833,0.0344014267173324,16.0,85.0,0.9911,3.19,0.42,11.8,6,11.905963071334881,Low
7.2,0.31,0.5,2.6602595372658615,0.05448818528406973,68.0,195.0,0.9982,3.01,0.47,9.2,5,9.216589861751151,Low
7.3,0.32,0.48,2.6602595372658615,0.05826890812397577,57.0,196.0,0.9982,3.04,0.5,9.2,5,9.216589861751151,Low
5.9,0.36,0.04,1.9021075263969205,0.044973365642731154,21.0,87.0,0.9934,3.22,0.51,10.2,5,10.267767263942018,Low
7.8,0.24,0.32,2.580216829592325,0.05259245011917058,42.0,138.0,0.9984,3.01,0.54,8.8,5,8.814102564102566,Low
7.4,0.16,0.31,2.060513531794317,0.05732506661926941,31.0,131.0,0.9952,3.29,0.34,9.7,5,9.746784565916398,Low
6.9,0.19,0.28,1.791759469228055,0.05638033343610764,14.0,146.0,0.9952,3.29,0.36,9.1,6,9.143890675241158,Low
6.4,0.13,0.47,0.9555114450274363,0.0880108773227133,40.0,158.0,0.9928,3.21,0.36,9.8,6,9.871071716357777,Low
6.7,0.19,0.36,0.7419373447293773,0.025667746748577788,63.0,143.0,0.9912,3.27,0.48,11.0,6,11.09765940274415,Low
7.4,0.39,0.23,2.0794415416798357,0.032467190137501496,29.0,126.0,0.994,3.14,0.42,10.5,5,10.56338028169014,Low
6.5,0.24,0.32,2.151762203259462,0.037295784743696894,48.0,203.0,0.9958,3.45,0.54,9.7,7,9.740911829684675,High
6.1,0.3,0.56,1.33500106673234,0.04305948946044697,47.0,179.0,0.9924,3.3,0.57,10.9,7,10.983474405481662,High
6.1,0.3,0.56,1.308332819650179,0.044973365642731154,46.0,184.0,0.9924,3.31,0.57,10.9,6,10.983474405481662,Low
5.7,0.26,0.25,2.4336133554004498,0.019802627296179712,7.0,57.0,0.994,3.39,0.37,10.6,5,10.663983903420522,Low
6.5,0.24,0.32,2.151762203259462,0.037295784743696894,48.0,203.0,0.9958,3.45,0.54,9.7,7,9.740911829684675,High
6.5,0.425,0.4,2.6461747973841225,0.037295784743696894,59.0,241.0,0.9979,3.23,0.57,9.0,5,9.018939773524401,Low
6.6,0.24,0.27,2.8213788864092133,0.0344014267173324,46.0,188.0,0.9982,3.24,0.51,9.2,5,9.216589861751151,Low
6.7,0.27,0.31,2.8154087194227095,0.03536714383729131,44.0,179.0,0.9979,3.26,0.56,9.6,5,9.620202425092694,Low
8.2,0.23,0.4,0.7884573603642702,0.026641930946421175,36.0,121.0,0.992,3.12,0.38,10.7,6,10.786290322580644,Low
7.1,0.37,0.67,2.4423470353692043,0.04401688541677433,49.0,155.0,0.9975,3.16,0.44,8.7,5,8.721804511278194,Low
6.8,0.19,0.36,1.0647107369924282,0.0344014267173324,30.0,96.0,0.9917,3.15,0.54,10.8,7,10.890390238983564,High
8.1,0.28,0.39,1.0647107369924282,0.028587456851912555,18.0,79.0,0.9923,3.23,0.52,11.8,6,11.891565050891868,Low
6.3,0.31,0.34,1.1631508098056809,0.04401688541677433,20.0,77.0,0.9927,3.3,0.43,10.2,5,10.275007555152612,Low
7.1,0.37,0.67,2.4423470353692043,0.04401688541677433,49.0,155.0,0.9975,3.16,0.44,8.7,5,8.721804511278194,Low
7.9,0.21,0.4,0.7884573603642702,0.038258712117090345,38.0,107.0,0.992,3.21,0.54,10.8,6,10.88709677419355,Low
8.5,0.21,0.41,1.667706820558076,0.03536714383729131,24.0,99.0,0.9947,3.18,0.53,9.7,6,9.751683924801446,Low
8.1,0.2,0.4,1.0986122886681098,0.03633192924739028,19.0,87.0,0.9921,3.12,0.54,11.2,6,11.289184558008264,Low
6.3,0.255,0.37,0.7419373447293773,0.039220713153281295,37.0,114.0,0.9905,3.0,0.39,10.9,6,11.00454316002019,Low
5.6,0.16,0.27,0.8754687373538999,0.04305948946044697,53.0,168.0,0.9918,3.28,0.37,10.1,6,10.183504738858641,Low
6.4,0.595,0.14,1.824549292051046,0.05638033343610764,15.0,97.0,0.9951,3.38,0.36,9.0,4,9.04431715405487,Low
6.3,0.34,0.33,1.7227665977411035,0.03343477608623739,19.0,80.0,0.9917,3.38,0.58,12.0,7,12.100433598870627,High
6.9,0.25,0.3,1.62924053973028,0.05259245011917058,23.0,116.0,0.994,2.99,0.38,9.4,6,9.456740442655937,Low
7.9,0.22,0.38,2.1972245773362196,0.042101176018635396,46.0,152.0,0.9934,3.12,0.32,11.5,7,11.576404268169922,High
7.6,0.18,0.46,2.4159137783010487,0.05354076692802982,58.0,135.0,0.9968,3.14,0.43,9.9,6,9.931781701444622,Low
6.9,0.25,0.3,1.62924053973028,0.05259245011917058,23.0,116.0,0.994,2.99,0.38,9.4,6,9.456740442655937,Low
7.2,0.18,0.41,0.7884573603642702,0.046883585898850416,41.0,97.0,0.9919,3.14,0.45,10.4,5,10.484927916120578,Low
8.2,0.23,0.4,2.1400661634962708,0.04783732941416013,12.0,76.0,0.9966,3.06,0.84,9.7,6,9.733092514549467,Low
7.4,0.24,0.42,2.70805020110221,0.0639133257436528,48.0,198.0,0.9979,2.89,0.42,8.9,6,8.918729331596353,Low
7.4,0.24,0.42,2.70805020110221,0.0639133257436528,48.0,198.0,0.9979,2.89,0.42,8.9,6,8.918729331596353,Low
6.1,0.32,0.24,0.9162907318741551,0.03536714383729131,38.0,124.0,0.9898,3.29,0.42,12.4,7,12.527783390583956,High
5.2,0.44,0.04,0.8754687373538999,0.03536714383729131,43.0,119.0,0.9894,3.36,0.33,12.1,8,12.229634121689914,High
5.2,0.44,0.04,0.8754687373538999,0.03536714383729131,43.0,119.0,0.9894,3.36,0.33,12.1,8,12.229634121689914,High
6.1,0.32,0.24,0.9162907318741551,0.03536714383729131,38.0,124.0,0.9898,3.29,0.42,12.4,7,12.527783390583956,High
6.4,0.22,0.56,2.740840023925201,0.05354076692802982,27.0,159.0,0.998,2.98,0.4,9.1,5,9.118236472945892,Low
6.3,0.36,0.3,1.7578579175523736,0.04783732941416013,14.0,85.0,0.9932,3.28,0.39,10.6,5,10.67257349979863,Low
7.4,0.24,0.42,2.70805020110221,0.0639133257436528,48.0,198.0,0.9979,2.89,0.42,8.9,6,8.918729331596353,Low
6.7,0.24,0.35,2.6461747973841225,0.048790164169432,64.0,205.0,0.997,3.15,0.5,9.5,5,9.528585757271815,Low
7.0,0.23,0.36,2.6390573296152584,0.04974209189481407,72.0,177.0,0.9972,3.16,0.49,9.8,5,9.827517047733656,Low
8.4,0.27,0.46,2.272125885509337,0.046883585898850416,39.0,197.0,0.9974,3.14,0.59,9.6,6,9.62502506516944,Low
6.7,0.46,0.18,1.2237754316221157,0.03343477608623739,25.0,98.0,0.9896,3.08,0.44,12.6,7,12.732417138237672,High
7.5,0.29,0.31,2.2975725511705014,0.05354076692802982,20.0,151.0,0.9968,3.08,0.54,9.3,5,9.329855537720707,Low
9.8,0.42,0.48,2.3841650799864684,0.03343477608623739,5.0,110.0,0.9958,2.87,0.29,10.0,5,10.04217714400482,Low
7.1,0.3,0.46,0.9162907318741551,0.0639133257436528,29.0,133.0,0.9906,3.12,0.54,12.7,6,12.82051282051282,Low
7.9,0.19,0.45,0.9162907318741551,0.04401688541677433,17.0,96.0,0.9917,3.13,0.39,11.0,6,11.092064132298074,Low
7.6,0.48,0.37,0.5877866649021191,0.03633192924739028,4.0,100.0,0.9902,3.03,0.39,11.4,4,11.512825691779438,Low
6.3,0.22,0.43,1.713797927758343,0.037295784743696894,31.0,130.0,0.9918,3.35,0.33,11.5,7,11.595079653155878,High
7.5,0.27,0.31,2.928523523860541,0.04974209189481407,33.0,173.0,0.999,3.09,0.64,10.2,5,10.21021021021021,Low
6.9,0.23,0.4,2.1400661634962708,0.039220713153281295,50.0,151.0,0.9927,3.11,0.27,11.4,6,11.483831973405863,Low
7.2,0.32,0.47,1.8082887711792655,0.04305948946044697,19.0,65.0,0.991,3.03,0.41,12.6,4,12.714429868819375,Low
5.9,0.23,0.3,2.631888840136646,0.05259245011917058,57.0,170.0,0.9972,3.28,0.39,9.4,5,9.426393902928199,Low
6.0,0.67,0.07,0.7884573603642702,0.05826890812397577,9.0,108.0,0.9931,3.11,0.35,8.7,4,8.76044708488571,Low
6.4,0.25,0.32,1.8718021769015913,0.04783732941416013,41.0,176.0,0.995,3.19,0.68,9.2,6,9.246231155778894,Low
6.4,0.33,0.31,1.8718021769015913,0.046883585898850416,42.0,173.0,0.9951,3.19,0.66,9.3,6,9.345794392523365,Low
7.1,0.34,0.15,0.7884573603642702,0.05164323315183845,61.0,183.0,0.9936,3.09,0.43,9.2,5,9.259259259259258,Low
6.8,0.28,0.4,3.1354942159291497,0.046883585898850416,48.0,167.0,1.001,2.93,0.5,8.7,5,8.691308691308691,Low
6.9,0.27,0.4,2.70805020110221,0.048790164169432,64.0,227.0,0.9979,3.18,0.58,9.6,6,9.620202425092694,Low
6.8,0.26,0.56,2.5572273113676265,0.042101176018635396,64.0,226.0,0.997,3.02,0.63,9.3,5,9.327983951855568,Low
6.8,0.29,0.56,2.5572273113676265,0.042101176018635396,66.0,230.0,0.9972,3.02,0.63,9.3,5,9.326113116726836,Low
6.7,0.24,0.41,2.341805806147327,0.039220713153281295,49.0,166.0,0.9954,3.12,0.61,9.9,6,9.945750452079567,Low
5.9,0.3,0.23,1.6486586255873816,0.037295784743696894,42.0,119.0,0.9924,3.15,0.5,11.0,5,11.084240225715439,Low
6.8,0.53,0.35,1.5686159179138452,0.03343477608623739,26.0,109.0,0.9906,3.26,0.57,12.7,8,12.82051282051282,High
6.5,0.28,0.28,2.2512917986064953,0.045928931888399804,54.0,210.0,0.9962,3.09,0.54,8.9,4,8.933949006223651,Low
6.6,0.28,0.28,2.2512917986064953,0.050693114315518116,55.0,211.0,0.9962,3.09,0.55,8.9,6,8.933949006223651,Low
6.8,0.28,0.4,3.1354942159291497,0.046883585898850416,48.0,167.0,1.001,2.93,0.5,8.7,5,8.691308691308691,Low
6.8,0.28,0.36,2.1972245773362196,0.04401688541677433,28.0,123.0,0.9928,3.02,0.37,11.4,6,11.482675261885577,Low
6.6,0.15,0.34,1.8082887711792655,0.05354076692802982,34.0,125.0,0.9942,3.36,0.42,9.6,5,9.656004828002414,Low
6.4,0.29,0.44,1.5260563034950492,0.18232155679395465,75.0,181.0,0.9942,3.02,0.41,9.1,5,9.153087909877287,Low
6.4,0.3,0.45,1.5040773967762742,0.1798184265758361,76.0,180.0,0.9942,3.02,0.39,9.1,6,9.153087909877287,Low
6.4,0.29,0.44,1.5260563034950492,0.1798184265758361,75.0,183.0,0.9942,3.01,0.38,9.1,5,9.153087909877287,Low
6.8,0.26,0.24,2.174751721484161,0.050693114315518116,54.0,214.0,0.9961,3.13,0.47,8.9,5,8.934845899006124,Low
7.1,0.32,0.24,2.6461747973841225,0.048790164169432,52.0,204.0,0.998,3.1,0.49,8.8,5,8.817635270541082,Low
6.8,0.26,0.24,2.174751721484161,0.050693114315518116,54.0,214.0,0.9961,3.13,0.47,8.9,5,8.934845899006124,Low
6.8,0.27,0.26,2.8390784635086144,0.04783732941416013,55.0,196.0,0.9984,3.15,0.5,9.3,5,9.314903846153847,Low
7.1,0.32,0.24,2.6461747973841225,0.048790164169432,52.0,204.0,0.998,3.1,0.49,8.8,5,8.817635270541082,Low
6.9,0.54,0.32,2.653241964607215,0.048790164169432,53.0,236.0,0.9973,3.2,0.5,9.6,5,9.625990173468365,Low
6.8,0.26,0.34,2.7013612129514133,0.03343477608623739,39.0,134.0,0.9949,3.33,0.53,12.0,6,12.061513719971856,Low
5.8,0.28,0.35,1.1939224684724346,0.05164323315183845,36.0,114.0,0.9924,3.28,0.5,10.2,4,10.278113663845224,Low
6.4,0.21,0.5,2.533696813957432,0.04114194333117518,45.0,153.0,0.9972,3.15,0.43,8.8,5,8.824709185720018,Low
7.0,0.16,0.32,2.2300144001592104,0.04401688541677433,38.0,126.0,0.9958,3.21,0.34,9.2,5,9.238802972484434,Low
10.2,0.44,0.88,1.9740810260220096,0.04783732941416013,20.0,124.0,0.9968,2.99,0.51,9.9,4,9.931781701444622,Low
6.8,0.57,0.29,1.1631508098056809,0.039220713153281295,15.0,77.0,0.9938,3.32,0.74,10.2,5,10.26363453411149,Low
6.1,0.4,0.31,0.6418538861723948,0.046883585898850416,23.0,170.0,0.993,3.22,0.77,9.5,6,9.566968781470292,Low
5.6,0.245,0.25,2.3702437414678603,0.03149866705937099,12.0,68.0,0.994,3.31,0.34,10.5,5,10.56338028169014,Low
